src,dst,src_neo4j_id,dst_neo4j_id,rel,relation_type,props_json
45,8,1672,1754,RELATED_TO,RELATED,"{""reason"": ""general ST segment changes"", ""similarity"": 0.4992731511592865, ""rank"": 4, ""relation_type"": ""RELATED""}"
78,8,1728,1754,RELATED_TO,RELATED,"{""reason"": ""general changes term"", ""similarity"": 0.5705526471138, ""rank"": 4, ""relation_type"": ""RELATED""}"
51,8,1683,1754,RELATED_TO,RELATED,"{""reason"": ""evidence of ST changes"", ""similarity"": 0.6017947793006897, ""rank"": 4, ""relation_type"": ""RELATED""}"
58,8,1695,1754,RELATED_TO,RELATED,"{""reason"": ""broad term for changes"", ""similarity"": 0.6297192573547363, ""rank"": 4, ""relation_type"": ""RELATED""}"
49,8,1680,1754,RELATED_TO,RELATED,"{""reason"": ""general changes in ST"", ""similarity"": 0.6098253726959229, ""rank"": 4, ""relation_type"": ""RELATED""}"
42,8,1668,1754,RELATED_TO,RELATED,"{""reason"": ""broader context of ST changes"", ""similarity"": 0.6012949347496033, ""rank"": 4, ""relation_type"": ""RELATED""}"
47,8,1674,1754,RELATED_TO,RELATED,"{""reason"": ""broader changes context"", ""similarity"": 0.6027777791023254, ""rank"": 4, ""relation_type"": ""RELATED""}"
80,8,1731,1754,RELATED_TO,RELATED,"{""reason"": ""broader group of ST changes"", ""similarity"": 0.6525726914405823, ""rank"": 2, ""relation_type"": ""RELATED""}"
86,8,1740,1754,RELATED_TO,RELATED,"{""reason"": ""related changes"", ""similarity"": 0.6056139469146729, ""rank"": 4, ""relation_type"": ""RELATED""}"
88,8,1743,1754,RELATED_TO,RELATED,"{""reason"": ""general changes in ST segments"", ""similarity"": 0.6105310916900635, ""rank"": 9, ""relation_type"": ""RELATED""}"
25,8,1640,1754,RELATED_TO,RELATED,"{""reason"": ""general changes in ST segment"", ""similarity"": 0.6288637518882751, ""rank"": 3, ""relation_type"": ""RELATED""}"
27,8,1643,1754,RELATED_TO,RELATED,"{""reason"": ""related abnormality"", ""similarity"": 0.5886698961257935, ""rank"": 4, ""relation_type"": ""RELATED""}"
61,8,1703,1754,RELATED_TO,EXACT,"{""reason"": ""equivalent term"", ""similarity"": 0.8547077178955078, ""rank"": 1, ""relation_type"": ""EXACT""}"
20,8,1634,1754,RELATED_TO,RELATED,"{""reason"": ""general change description"", ""similarity"": 0.700846791267395, ""rank"": 3, ""relation_type"": ""RELATED""}"
28,8,1644,1754,RELATED_TO,RELATED,"{""reason"": ""changes may include ST findings"", ""similarity"": 0.4808151125907898, ""rank"": 9, ""relation_type"": ""RELATED""}"
0,8,1601,1754,RELATED_TO,RELATED,"{""reason"": ""general changes include query"", ""similarity"": 0.5994921326637268, ""rank"": 4, ""relation_type"": ""RELATED""}"
81,8,1732,1754,RELATED_TO,RELATED,"{""reason"": ""includes ST segment changes"", ""similarity"": 0.6502741575241089, ""rank"": 3, ""relation_type"": ""RELATED""}"
72,8,1721,1754,RELATED_TO,RELATED,"{""reason"": ""part of ST segment changes"", ""similarity"": 0.40838998556137085, ""rank"": 1, ""relation_type"": ""RELATED""}"
1,8,1602,1754,RELATED_TO,RELATED,"{""reason"": ""broad category of changes"", ""similarity"": 0.6184831857681274, ""rank"": 4, ""relation_type"": ""RELATED""}"
29,8,1646,1754,RELATED_TO,RELATED,"{""reason"": ""general ST changes"", ""similarity"": 0.624220609664917, ""rank"": 3, ""relation_type"": ""RELATED""}"
17,8,1629,1754,RELATED_TO,RELATED,"{""reason"": ""general ST segment changes"", ""similarity"": 0.4881669878959656, ""rank"": 4, ""relation_type"": ""RELATED""}"
29,9,1646,1755,RELATED_TO,RELATED,"{""reason"": ""broader interval abnormality"", ""similarity"": 0.5854550004005432, ""rank"": 6, ""relation_type"": ""RELATED""}"
17,9,1629,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST interval suggests issue"", ""similarity"": 0.5151336789131165, ""rank"": 2, ""relation_type"": ""RELATED""}"
20,9,1634,1755,RELATED_TO,RELATED,"{""reason"": ""abnormality in segment"", ""similarity"": 0.6510113477706909, ""rank"": 6, ""relation_type"": ""RELATED""}"
81,9,1732,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST segment finding"", ""similarity"": 0.5905752778053284, ""rank"": 5, ""relation_type"": ""RELATED""}"
0,9,1601,1755,RELATED_TO,RELATED,"{""reason"": ""broader abnormality category"", ""similarity"": 0.5722556710243225, ""rank"": 5, ""relation_type"": ""RELATED""}"
60,9,1698,1755,RELATED_TO,RELATED,"{""reason"": ""Indicates ST segment abnormality"", ""similarity"": 0.5498406887054443, ""rank"": 5, ""relation_type"": ""RELATED""}"
1,9,1602,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST interval context"", ""similarity"": 0.5908088088035583, ""rank"": 5, ""relation_type"": ""RELATED""}"
28,9,1644,1755,RELATED_TO,RELATED,"{""reason"": ""ST interval abnormal suggests issues"", ""similarity"": 0.5054963827133179, ""rank"": 3, ""relation_type"": ""RELATED""}"
32,9,1654,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal relates to ST changes"", ""similarity"": 0.6062340140342712, ""rank"": 5, ""relation_type"": ""RELATED""}"
27,9,1643,1755,RELATED_TO,RELATED,"{""reason"": ""broad abnormality category"", ""similarity"": 0.5297610759735107, ""rank"": 6, ""relation_type"": ""RELATED""}"
39,9,1663,1755,RELATED_TO,RELATED,"{""reason"": ""General ST interval issue"", ""similarity"": 0.6793943643569946, ""rank"": 4, ""relation_type"": ""RELATED""}"
70,9,1719,1755,RELATED_TO,RELATED,"{""reason"": ""abnormality includes depression"", ""similarity"": 0.6067333221435547, ""rank"": 5, ""relation_type"": ""RELATED""}"
13,9,1623,1755,RELATED_TO,RELATED,"{""reason"": ""indicates abnormal ST interval"", ""similarity"": 0.7211565375328064, ""rank"": 4, ""relation_type"": ""RELATED""}"
85,9,1739,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal interval finding"", ""similarity"": 0.5542765259742737, ""rank"": 9, ""relation_type"": ""RELATED""}"
8,9,1615,1755,RELATED_TO,RELATED,"{""reason"": ""abnormality suggests ST segment issues"", ""similarity"": 0.5561304688453674, ""rank"": 5, ""relation_type"": ""RELATED""}"
6,9,1613,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal indicates various conditions"", ""similarity"": 0.6430432200431824, ""rank"": 7, ""relation_type"": ""RELATED""}"
51,9,1683,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST changes"", ""similarity"": 0.5786380171775818, ""rank"": 6, ""relation_type"": ""RELATED""}"
74,9,1723,1755,RELATED_TO,RELATED,"{""reason"": ""abnormality related to ST segment"", ""similarity"": 0.611323356628418, ""rank"": 5, ""relation_type"": ""RELATED""}"
49,9,1680,1755,RELATED_TO,RELATED,"{""reason"": ""abnormality in ST interval"", ""similarity"": 0.544739842414856, ""rank"": 5, ""relation_type"": ""RELATED""}"
16,9,1627,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST interval includes elevation"", ""similarity"": 0.5576353073120117, ""rank"": 5, ""relation_type"": ""RELATED""}"
37,9,1661,1755,RELATED_TO,RELATED,"{""reason"": ""related but specific to ST interval"", ""similarity"": 0.6496950387954712, ""rank"": 5, ""relation_type"": ""RELATED""}"
30,9,1648,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST interval finding"", ""similarity"": 0.601233184337616, ""rank"": 6, ""relation_type"": ""RELATED""}"
87,9,1742,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST segment indication"", ""similarity"": 0.591131865978241, ""rank"": 5, ""relation_type"": ""RELATED""}"
80,9,1731,1755,RELATED_TO,RELATED,"{""reason"": ""abnormality including ST changes"", ""similarity"": 0.5194843411445618, ""rank"": 5, ""relation_type"": ""RELATED""}"
69,9,1718,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST interval concept"", ""similarity"": 0.6406048536300659, ""rank"": 5, ""relation_type"": ""RELATED""}"
59,9,1697,1755,RELATED_TO,RELATED,"{""reason"": ""broader ST interval issue"", ""similarity"": 0.610966145992279, ""rank"": 9, ""relation_type"": ""RELATED""}"
89,9,1744,1755,RELATED_TO,RELATED,"{""reason"": ""related ECG abnormality"", ""similarity"": 0.5717299580574036, ""rank"": 5, ""relation_type"": ""RELATED""}"
35,9,1658,1755,RELATED_TO,RELATED,"{""reason"": ""related concept"", ""similarity"": 0.6759058833122253, ""rank"": 4, ""relation_type"": ""RELATED""}"
18,9,1630,1755,RELATED_TO,NARROWER,"{""reason"": ""abnormal ST interval includes elevation"", ""similarity"": 0.6007282733917236, ""rank"": 3, ""relation_type"": ""NARROWER""}"
52,9,1685,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST interval"", ""similarity"": 0.5402652025222778, ""rank"": 5, ""relation_type"": ""RELATED""}"
79,9,1729,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal interval can suggest T wave issues"", ""similarity"": 0.5590405464172363, ""rank"": 7, ""relation_type"": ""RELATED""}"
33,9,1656,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST interval relates to depression"", ""similarity"": 0.6233370304107666, ""rank"": 7, ""relation_type"": ""RELATED""}"
47,9,1674,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST overview"", ""similarity"": 0.5366335511207581, ""rank"": 5, ""relation_type"": ""RELATED""}"
43,9,1669,1755,RELATED_TO,RELATED,"{""reason"": ""ST interval abnormality suggests change"", ""similarity"": 0.5150875449180603, ""rank"": 4, ""relation_type"": ""RELATED""}"
15,9,1625,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal segment finding"", ""similarity"": 0.5650256276130676, ""rank"": 7, ""relation_type"": ""RELATED""}"
42,9,1668,1755,RELATED_TO,RELATED,"{""reason"": ""abnormality related to ST segment"", ""similarity"": 0.5648030042648315, ""rank"": 5, ""relation_type"": ""RELATED""}"
26,9,1642,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST interval"", ""similarity"": 0.5319549441337585, ""rank"": 9, ""relation_type"": ""RELATED""}"
23,9,1637,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST interval"", ""similarity"": 0.5769360661506653, ""rank"": 5, ""relation_type"": ""RELATED""}"
86,9,1740,1755,RELATED_TO,NARROWER,"{""reason"": ""more general category"", ""similarity"": 0.5817326307296753, ""rank"": 7, ""relation_type"": ""NARROWER""}"
25,9,1640,1755,RELATED_TO,RELATED,"{""reason"": ""general ST interval changes"", ""similarity"": 0.5629808902740479, ""rank"": 6, ""relation_type"": ""RELATED""}"
61,9,1703,1755,RELATED_TO,RELATED,"{""reason"": ""related abnormality type"", ""similarity"": 0.6276837587356567, ""rank"": 5, ""relation_type"": ""RELATED""}"
50,9,1681,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST segment related"", ""similarity"": 0.5237265229225159, ""rank"": 6, ""relation_type"": ""RELATED""}"
9,9,1617,1755,RELATED_TO,RELATED,"{""reason"": ""general ST interval abnormality context"", ""similarity"": 0.577767550945282, ""rank"": 6, ""relation_type"": ""RELATED""}"
53,9,1687,1755,RELATED_TO,RELATED,"{""reason"": ""abnormality related to query"", ""similarity"": 0.5697095394134521, ""rank"": 8, ""relation_type"": ""RELATED""}"
45,9,1672,1755,RELATED_TO,RELATED,"{""reason"": ""abnormal ST interval relevance"", ""similarity"": 0.5092641711235046, ""rank"": 2, ""relation_type"": ""RELATED""}"
82,9,1734,1755,RELATED_TO,RELATED,"{""reason"": ""ST interval may relate to Q waves"", ""similarity"": 0.6340559720993042, ""rank"": 4, ""relation_type"": ""RELATED""}"
1,10,1602,1756,RELATED_TO,RELATED,"{""reason"": ""nonspecific abnormality"", ""similarity"": 0.5695547461509705, ""rank"": 8, ""relation_type"": ""RELATED""}"
0,10,1601,1756,RELATED_TO,RELATED,"{""reason"": ""refers to ST-T abnormalities"", ""similarity"": 0.5684286952018738, ""rank"": 6, ""relation_type"": ""RELATED""}"
29,10,1646,1756,RELATED_TO,RELATED,"{""reason"": ""nonspecific and different"", ""similarity"": 0.570576012134552, ""rank"": 8, ""relation_type"": ""RELATED""}"
56,10,1692,1756,RELATED_TO,RELATED,"{""reason"": ""non-specific ST abnormalities"", ""similarity"": 0.47483882308006287, ""rank"": 7, ""relation_type"": ""RELATED""}"
17,10,1629,1756,RELATED_TO,RELATED,"{""reason"": ""nonspecific abnormality"", ""similarity"": 0.48669373989105225, ""rank"": 5, ""relation_type"": ""RELATED""}"
60,10,1698,1756,RELATED_TO,RELATED,"{""reason"": ""Nonspecific ST changes possible"", ""similarity"": 0.5149857401847839, ""rank"": 7, ""relation_type"": ""RELATED""}"
20,10,1634,1756,RELATED_TO,RELATED,"{""reason"": ""abnormality type related"", ""similarity"": 0.6526126861572266, ""rank"": 5, ""relation_type"": ""RELATED""}"
81,10,1732,1756,RELATED_TO,RELATED,"{""reason"": ""related abnormality"", ""similarity"": 0.5841503143310547, ""rank"": 6, ""relation_type"": ""RELATED""}"
28,10,1644,1756,RELATED_TO,RELATED,"{""reason"": ""non-specific abnormalities include ST"", ""similarity"": 0.4865325093269348, ""rank"": 7, ""relation_type"": ""RELATED""}"
30,10,1648,1756,RELATED_TO,RELATED,"{""reason"": ""related abnormality"", ""similarity"": 0.6250463724136353, ""rank"": 5, ""relation_type"": ""RELATED""}"
45,10,1672,1756,RELATED_TO,RELATED,"{""reason"": ""indicates nonspecific changes"", ""similarity"": 0.4661732017993927, ""rank"": 7, ""relation_type"": ""RELATED""}"
86,10,1740,1756,RELATED_TO,RELATED,"{""reason"": ""possible variation"", ""similarity"": 0.5827845931053162, ""rank"": 6, ""relation_type"": ""RELATED""}"
82,10,1734,1756,RELATED_TO,RELATED,"{""reason"": ""General ST-T abnormalities relate"", ""similarity"": 0.582909345626831, ""rank"": 7, ""relation_type"": ""RELATED""}"
9,10,1617,1756,RELATED_TO,RELATED,"{""reason"": ""nonspecific finding not exact"", ""similarity"": 0.6262710094451904, ""rank"": 2, ""relation_type"": ""RELATED""}"
32,10,1654,1756,RELATED_TO,RELATED,"{""reason"": ""nonspecific abnormality may relate"", ""similarity"": 0.5807026028633118, ""rank"": 6, ""relation_type"": ""RELATED""}"
61,10,1703,1756,RELATED_TO,RELATED,"{""reason"": ""associated finding"", ""similarity"": 0.5885632038116455, ""rank"": 6, ""relation_type"": ""RELATED""}"
13,10,1623,1756,RELATED_TO,RELATED,"{""reason"": ""related abnormality description"", ""similarity"": 0.6966972947120667, ""rank"": 5, ""relation_type"": ""RELATED""}"
87,10,1742,1756,RELATED_TO,RELATED,"{""reason"": ""general ST-T abnormality finding"", ""similarity"": 0.5675082206726074, ""rank"": 6, ""relation_type"": ""RELATED""}"
18,10,1630,1756,RELATED_TO,RELATED,"{""reason"": ""suggests abnormal ST-T relations"", ""similarity"": 0.5616347789764404, ""rank"": 7, ""relation_type"": ""RELATED""}"
89,10,1744,1756,RELATED_TO,RELATED,"{""reason"": ""nonspecific ST-T abnormality"", ""similarity"": 0.5339730978012085, ""rank"": 6, ""relation_type"": ""RELATED""}"
53,10,1687,1756,RELATED_TO,RELATED,"{""reason"": ""possible associated finding"", ""similarity"": 0.5903325080871582, ""rank"": 6, ""relation_type"": ""RELATED""}"
