src,dst,src_neo4j_id,dst_neo4j_id,rel,decision,props_json
2,25,6,36,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""In clinical practice, the following, not entirely exclusive, CCS patients seek outpatient medical attention: (i) the symptomatic patient with reproducible stress-induced angina or ischaemia with epicardial obstructive CAD; (ii) the patient with angina or ischaemia caused by epicardial vasomotor abnormalities or functional/structural microvascular alterations in the absence of epicardial obstructive CAD (ANOCA/INOCA); (iii) the non-acute patient post-ACS or after a revascularization; (iv) the non-acute patient with heart failure (HF) of ischaemic or cardiometabolic origin.""}"
3,4,8,9,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Although stable for long periods, chronic coronary diseases are frequently progressive and may destabilize at any moment with the development of an ACS.’""}"
5,5,10,10,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""The discussion about which modality to use as a first-line test has been heavily focused on the detection of obstructive epicardial stenoses, neglecting the relatively high prevalence of non-obstructive coronary disease and ANOCA/INOCA, especially in female patients.""}"
5,1,10,5,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Older concepts considered a fixed, focal, flow-limiting atherosclerotic stenosis of a large or medium coronary artery as asine qua nonfor inducible myocardial ischaemia and ischaemic chest pain (angina pectoris).""}"
5,19,10,28,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the microvascular level, coronary microvascular dysfunction (CMD) is increasingly acknowledged as a prevalent factor characterizing the entire spectrum of CCS;6functional and structural microcirculatory abnormalities may cause angina and ischaemia even in patients with non-obstructive disease of the large or medium coronary arteries [angina with non-obstructive coronary arteries (ANOCA); ischaemia with non-obstructive coronary arteries (INOCA)].6Finally, systemic or extracoronary conditions, such as anaemia, tachycardia, blood pressure (BP) changes, myocardial hypertrophy, and fibrosis, may contribute to the complex pathophysiology of non-acute myocardial ischaemia.7\nThe risk factors that predispose to the development of epicardial coronary atherosclerosis also promote endothelial dysfunction and abnormal vasomotion in the entire coronary tree, including the arterioles that regulate coronary flow and resistance,8–10and adversely affect myocardial capillaries,6,11–14leading to their rarefaction.""}"
5,1,10,5,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Presence of asymptomatic atherosclerotic CAD is common in the general population.1097–1100In the Swedish Cardiopulmonary Bioimage Study, CCTA was performed in randomly selected individuals from the general population.1097In the 25 182 individuals without known CAD, atherosclerotic plaque was present in 42% of participants.""}"
5,211,10,825,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Patients with inflammatory rheumatic diseases have an increased risk of CVD compared with the general population.1033,1034Accumulating evidence has shown elevated cardiovascular morbidity and mortality in other rheumatic and musculoskeletal diseases, including gout, vasculitis, systemic sclerosis, myositis, mixed connective tissue disease, Sjögren syndrome, SLE, and the antiphospholipid syndrome.1035–1044\nSome of these patient categories have two- to three-fold higher prevalences of asymptomatic ASCVD compared with the general population,1045–1051which is linked to ASCVD outcomes.1049,1052–1054Thus, identification of ASCVD such as carotid artery plaque(s) may be considered in ASCVD and CAD risk evaluation.1050,1055–1057\nIn patients with inflammatory rheumatic diseases and CCS, CVD preventive medications such as lipid-lowering medications and antihypertensive treatment should be used as in the general population.1058–1062""}"
5,12,10,19,PREVENTS,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""If symptoms persist after obstructive CAD is ruled out, coronary microvascular disease and vasospasm should be considered.""}"
5,223,10,1120,HAS_ONTOLOGY,,{}
7,6,14,13,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the macrovascular level, not only fixed, flow-limiting stenoses but also diffuse atherosclerotic lesions without identifiable luminal narrowing may cause ischaemia under stress;2,3structural abnormalities such as myocardial bridging4and congenital arterial anomalies5or dynamic epicardial vasospasm may be responsible for transient ischaemia.""}"
8,6,15,13,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the macrovascular level, not only fixed, flow-limiting stenoses but also diffuse atherosclerotic lesions without identifiable luminal narrowing may cause ischaemia under stress;2,3structural abnormalities such as myocardial bridging4and congenital arterial anomalies5or dynamic epicardial vasospasm may be responsible for transient ischaemia.""}"
9,6,16,13,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the macrovascular level, not only fixed, flow-limiting stenoses but also diffuse atherosclerotic lesions without identifiable luminal narrowing may cause ischaemia under stress;2,3structural abnormalities such as myocardial bridging4and congenital arterial anomalies5or dynamic epicardial vasospasm may be responsible for transient ischaemia.""}"
10,6,17,13,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the macrovascular level, not only fixed, flow-limiting stenoses but also diffuse atherosclerotic lesions without identifiable luminal narrowing may cause ischaemia under stress;2,3structural abnormalities such as myocardial bridging4and congenital arterial anomalies5or dynamic epicardial vasospasm may be responsible for transient ischaemia.""}"
11,6,18,13,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the macrovascular level, not only fixed, flow-limiting stenoses but also diffuse atherosclerotic lesions without identifiable luminal narrowing may cause ischaemia under stress;2,3structural abnormalities such as myocardial bridging4and congenital arterial anomalies5or dynamic epicardial vasospasm may be responsible for transient ischaemia.""}"
12,2,19,6,CAUSES,,"{""source_sentences"": ""Third, in any given patient, myocardial ischaemia and angina symptoms may be caused by various underlying pathophysiological mechanisms, alone or in combination;6,512these may include obstruction of epicardial coronary arteries, vasospasm, and endothelial/microvascular dysfunction.""}"
12,243,19,1140,HAS_ONTOLOGY,,{}
12,170,19,694,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Symptoms of angina/ischaemia with non-obstructive coronary arteries are associated with adverse physical, mental, and social health.952Angina/ischaemia with non-obstructive coronary arteries is associated with poor QoL, higher risk of disability, and a higher incidence of adverse events, including mortality, morbidity, healthcare costs, recurrent hospital readmissions and repeat coronary angiograms.300,953–958The incidence of all-cause death and non-fatal MI in patients with non-obstructive atherosclerosis was higher than in those with angiographically normal epicardial vessels.298,959–961Proven myocardial ischaemia by stress echocardiography or nuclear imaging was associated with a higher incidence of events compared with ischaemia detected by exercise electrocardiographic stress testing.958There is a two- to four-fold higher risk of adverse cardiovascular outcomes in patients with MVA diagnosed by PET or transthoracic echocardiography and a two-fold higher risk in patients with epicardial endothelial-dependent dysfunction.300,962Microvascular angina due to impaired CFR was associated with increased major adverse cardiac events and target-vessel failure rates over a 5-year follow-up period.931Vasospastic angina is associated with major adverse events, including sudden cardiac death, acute MI, and syncope.963In a group of ANOCA/INOCA patients, abnormal non-invasive testing did not allow the identification of patients with a higher risk of long-term cardiovascular events.""}"
12,183,19,741,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Standardized diagnostic criteria for VSA have been defined.73Microvascular angina and epicardial VSA can co-exist, which is associated with a worse prognosis.947Concomitant endothelial dysfunction is prevalent in most patients with INOCA with inducible coronary artery spasm and/or impaired adenosine-mediated vasodilation.38,948\nThe Japanese population has a higher prevalence of coronary vasospasm than Western populations.""}"
12,12,19,19,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Coronary microvascular dysfunction is characterized by decreased CFR and increased microvascular vascular resistance (IMR, HMR, MRR).""}"
12,1,19,5,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Microvascular angina is the clinical manifestation of myocardial ischaemia caused by structural or functional changes in the coronary microvasculature (leading to impaired CFR and/or reduced microcirculatory conductance) and/or abnormal vasoconstriction of coronary arterioles (causing dynamic arteriolar obstruction).932,933Both vascular dysfunction mechanisms may co-exist and contribute to MVA.""}"
12,166,19,681,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Standardized diagnostic criteria for VSA have been defined.73Microvascular angina and epicardial VSA can co-exist, which is associated with a worse prognosis.947Concomitant endothelial dysfunction is prevalent in most patients with INOCA with inducible coronary artery spasm and/or impaired adenosine-mediated vasodilation.38,948\nThe Japanese population has a higher prevalence of coronary vasospasm than Western populations.""}"
12,170,19,694,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""A large proportion of patients undergoing coronary angiography because of angina do not have obstructive epicardial coronary arteries (ANOCA).""}"
12,21,19,30,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the microvascular level, coronary microvascular dysfunction (CMD) is increasingly acknowledged as a prevalent factor characterizing the entire spectrum of CCS;6functional and structural microcirculatory abnormalities may cause angina and ischaemia even in patients with non-obstructive disease of the large or medium coronary arteries [angina with non-obstructive coronary arteries (ANOCA); ischaemia with non-obstructive coronary arteries (INOCA)].6Finally, systemic or extracoronary conditions, such as anaemia, tachycardia, blood pressure (BP) changes, myocardial hypertrophy, and fibrosis, may contribute to the complex pathophysiology of non-acute myocardial ischaemia.7\nThe risk factors that predispose to the development of epicardial coronary atherosclerosis also promote endothelial dysfunction and abnormal vasomotion in the entire coronary tree, including the arterioles that regulate coronary flow and resistance,8–10and adversely affect myocardial capillaries,6,11–14leading to their rarefaction.""}"
12,1,19,5,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the microvascular level, coronary microvascular dysfunction (CMD) is increasingly acknowledged as a prevalent factor characterizing the entire spectrum of CCS;6functional and structural microcirculatory abnormalities may cause angina and ischaemia even in patients with non-obstructive disease of the large or medium coronary arteries [angina with non-obstructive coronary arteries (ANOCA); ischaemia with non-obstructive coronary arteries (INOCA)].6Finally, systemic or extracoronary conditions, such as anaemia, tachycardia, blood pressure (BP) changes, myocardial hypertrophy, and fibrosis, may contribute to the complex pathophysiology of non-acute myocardial ischaemia.7\nThe risk factors that predispose to the development of epicardial coronary atherosclerosis also promote endothelial dysfunction and abnormal vasomotion in the entire coronary tree, including the arterioles that regulate coronary flow and resistance,8–10and adversely affect myocardial capillaries,6,11–14leading to their rarefaction.""}"
13,14,20,21,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the microvascular level, coronary microvascular dysfunction (CMD) is increasingly acknowledged as a prevalent factor characterizing the entire spectrum of CCS;6functional and structural microcirculatory abnormalities may cause angina and ischaemia even in patients with non-obstructive disease of the large or medium coronary arteries [angina with non-obstructive coronary arteries (ANOCA); ischaemia with non-obstructive coronary arteries (INOCA)].6Finally, systemic or extracoronary conditions, such as anaemia, tachycardia, blood pressure (BP) changes, myocardial hypertrophy, and fibrosis, may contribute to the complex pathophysiology of non-acute myocardial ischaemia.7\nThe risk factors that predispose to the development of epicardial coronary atherosclerosis also promote endothelial dysfunction and abnormal vasomotion in the entire coronary tree, including the arterioles that regulate coronary flow and resistance,8–10and adversely affect myocardial capillaries,6,11–14leading to their rarefaction.""}"
13,2,20,6,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the microvascular level, coronary microvascular dysfunction (CMD) is increasingly acknowledged as a prevalent factor characterizing the entire spectrum of CCS;6functional and structural microcirculatory abnormalities may cause angina and ischaemia even in patients with non-obstructive disease of the large or medium coronary arteries [angina with non-obstructive coronary arteries (ANOCA); ischaemia with non-obstructive coronary arteries (INOCA)].6Finally, systemic or extracoronary conditions, such as anaemia, tachycardia, blood pressure (BP) changes, myocardial hypertrophy, and fibrosis, may contribute to the complex pathophysiology of non-acute myocardial ischaemia.7\nThe risk factors that predispose to the development of epicardial coronary atherosclerosis also promote endothelial dysfunction and abnormal vasomotion in the entire coronary tree, including the arterioles that regulate coronary flow and resistance,8–10and adversely affect myocardial capillaries,6,11–14leading to their rarefaction.""}"
14,241,21,1138,HAS_ONTOLOGY,,{}
14,25,21,36,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""In clinical practice, the following, not entirely exclusive, CCS patients seek outpatient medical attention: (i) the symptomatic patient with reproducible stress-induced angina or ischaemia with epicardial obstructive CAD; (ii) the patient with angina or ischaemia caused by epicardial vasomotor abnormalities or functional/structural microvascular alterations in the absence of epicardial obstructive CAD (ANOCA/INOCA); (iii) the non-acute patient post-ACS or after a revascularization; (iv) the non-acute patient with heart failure (HF) of ischaemic or cardiometabolic origin.""}"
14,24,21,35,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Failure to diagnose epicardial obstructive CAD in a patient with documented ischaemia should stimulate a subsequent search pathway to elucidate ANOCA/INOCA endotypes.""}"
15,16,22,23,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the microvascular level, coronary microvascular dysfunction (CMD) is increasingly acknowledged as a prevalent factor characterizing the entire spectrum of CCS;6functional and structural microcirculatory abnormalities may cause angina and ischaemia even in patients with non-obstructive disease of the large or medium coronary arteries [angina with non-obstructive coronary arteries (ANOCA); ischaemia with non-obstructive coronary arteries (INOCA)].6Finally, systemic or extracoronary conditions, such as anaemia, tachycardia, blood pressure (BP) changes, myocardial hypertrophy, and fibrosis, may contribute to the complex pathophysiology of non-acute myocardial ischaemia.7\nThe risk factors that predispose to the development of epicardial coronary atherosclerosis also promote endothelial dysfunction and abnormal vasomotion in the entire coronary tree, including the arterioles that regulate coronary flow and resistance,8–10and adversely affect myocardial capillaries,6,11–14leading to their rarefaction.""}"
17,16,26,23,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the microvascular level, coronary microvascular dysfunction (CMD) is increasingly acknowledged as a prevalent factor characterizing the entire spectrum of CCS;6functional and structural microcirculatory abnormalities may cause angina and ischaemia even in patients with non-obstructive disease of the large or medium coronary arteries [angina with non-obstructive coronary arteries (ANOCA); ischaemia with non-obstructive coronary arteries (INOCA)].6Finally, systemic or extracoronary conditions, such as anaemia, tachycardia, blood pressure (BP) changes, myocardial hypertrophy, and fibrosis, may contribute to the complex pathophysiology of non-acute myocardial ischaemia.7\nThe risk factors that predispose to the development of epicardial coronary atherosclerosis also promote endothelial dysfunction and abnormal vasomotion in the entire coronary tree, including the arterioles that regulate coronary flow and resistance,8–10and adversely affect myocardial capillaries,6,11–14leading to their rarefaction.""}"
18,16,27,23,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the microvascular level, coronary microvascular dysfunction (CMD) is increasingly acknowledged as a prevalent factor characterizing the entire spectrum of CCS;6functional and structural microcirculatory abnormalities may cause angina and ischaemia even in patients with non-obstructive disease of the large or medium coronary arteries [angina with non-obstructive coronary arteries (ANOCA); ischaemia with non-obstructive coronary arteries (INOCA)].6Finally, systemic or extracoronary conditions, such as anaemia, tachycardia, blood pressure (BP) changes, myocardial hypertrophy, and fibrosis, may contribute to the complex pathophysiology of non-acute myocardial ischaemia.7\nThe risk factors that predispose to the development of epicardial coronary atherosclerosis also promote endothelial dysfunction and abnormal vasomotion in the entire coronary tree, including the arterioles that regulate coronary flow and resistance,8–10and adversely affect myocardial capillaries,6,11–14leading to their rarefaction.""}"
19,2,28,6,CAUSES,,"{""source_sentences"": ""Third, in any given patient, myocardial ischaemia and angina symptoms may be caused by various underlying pathophysiological mechanisms, alone or in combination;6,512these may include obstruction of epicardial coronary arteries, vasospasm, and endothelial/microvascular dysfunction.""}"
19,25,28,36,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""In all patients with established ANOCA/INOCA due to the frequent presence of coronary atherosclerosis and endothelial dysfunction, tailored counselling on lifestyle factors is warranted to address risk factors, reduce symptoms, and improve QoL and prognosis.""}"
19,116,28,455,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Standardized diagnostic criteria for VSA have been defined.73Microvascular angina and epicardial VSA can co-exist, which is associated with a worse prognosis.947Concomitant endothelial dysfunction is prevalent in most patients with INOCA with inducible coronary artery spasm and/or impaired adenosine-mediated vasodilation.38,948\nThe Japanese population has a higher prevalence of coronary vasospasm than Western populations.""}"
19,20,28,29,AFFECTS,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the microvascular level, coronary microvascular dysfunction (CMD) is increasingly acknowledged as a prevalent factor characterizing the entire spectrum of CCS;6functional and structural microcirculatory abnormalities may cause angina and ischaemia even in patients with non-obstructive disease of the large or medium coronary arteries [angina with non-obstructive coronary arteries (ANOCA); ischaemia with non-obstructive coronary arteries (INOCA)].6Finally, systemic or extracoronary conditions, such as anaemia, tachycardia, blood pressure (BP) changes, myocardial hypertrophy, and fibrosis, may contribute to the complex pathophysiology of non-acute myocardial ischaemia.7\nThe risk factors that predispose to the development of epicardial coronary atherosclerosis also promote endothelial dysfunction and abnormal vasomotion in the entire coronary tree, including the arterioles that regulate coronary flow and resistance,8–10and adversely affect myocardial capillaries,6,11–14leading to their rarefaction.""}"
20,21,29,30,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""At the microvascular level, coronary microvascular dysfunction (CMD) is increasingly acknowledged as a prevalent factor characterizing the entire spectrum of CCS;6functional and structural microcirculatory abnormalities may cause angina and ischaemia even in patients with non-obstructive disease of the large or medium coronary arteries [angina with non-obstructive coronary arteries (ANOCA); ischaemia with non-obstructive coronary arteries (INOCA)].6Finally, systemic or extracoronary conditions, such as anaemia, tachycardia, blood pressure (BP) changes, myocardial hypertrophy, and fibrosis, may contribute to the complex pathophysiology of non-acute myocardial ischaemia.7\nThe risk factors that predispose to the development of epicardial coronary atherosclerosis also promote endothelial dysfunction and abnormal vasomotion in the entire coronary tree, including the arterioles that regulate coronary flow and resistance,8–10and adversely affect myocardial capillaries,6,11–14leading to their rarefaction.""}"
23,2,34,6,CAUSES,,"{""source_sentences"": ""Third, in any given patient, myocardial ischaemia and angina symptoms may be caused by various underlying pathophysiological mechanisms, alone or in combination;6,512these may include obstruction of epicardial coronary arteries, vasospasm, and endothelial/microvascular dysfunction.""}"
23,242,34,1139,HAS_ONTOLOGY,,{}
23,187,34,750,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Symptoms of angina/ischaemia with non-obstructive coronary arteries are associated with adverse physical, mental, and social health.952Angina/ischaemia with non-obstructive coronary arteries is associated with poor QoL, higher risk of disability, and a higher incidence of adverse events, including mortality, morbidity, healthcare costs, recurrent hospital readmissions and repeat coronary angiograms.300,953–958The incidence of all-cause death and non-fatal MI in patients with non-obstructive atherosclerosis was higher than in those with angiographically normal epicardial vessels.298,959–961Proven myocardial ischaemia by stress echocardiography or nuclear imaging was associated with a higher incidence of events compared with ischaemia detected by exercise electrocardiographic stress testing.958There is a two- to four-fold higher risk of adverse cardiovascular outcomes in patients with MVA diagnosed by PET or transthoracic echocardiography and a two-fold higher risk in patients with epicardial endothelial-dependent dysfunction.300,962Microvascular angina due to impaired CFR was associated with increased major adverse cardiac events and target-vessel failure rates over a 5-year follow-up period.931Vasospastic angina is associated with major adverse events, including sudden cardiac death, acute MI, and syncope.963In a group of ANOCA/INOCA patients, abnormal non-invasive testing did not allow the identification of patients with a higher risk of long-term cardiovascular events.""}"
23,1,34,5,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Vasospastic angina is the clinical manifestation of myocardial ischaemia caused by abnormal vasoconstriction of one or more epicardial coronary arteries leading to a dynamic coronary obstruction.""}"
23,171,34,695,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""A large proportion of patients undergoing coronary angiography because of angina do not have obstructive epicardial coronary arteries (ANOCA).""}"
23,172,34,696,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""A large proportion of patients undergoing coronary angiography because of angina do not have obstructive epicardial coronary arteries (ANOCA).""}"
23,24,34,35,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""In clinical practice, the following, not entirely exclusive, CCS patients seek outpatient medical attention: (i) the symptomatic patient with reproducible stress-induced angina or ischaemia with epicardial obstructive CAD; (ii) the patient with angina or ischaemia caused by epicardial vasomotor abnormalities or functional/structural microvascular alterations in the absence of epicardial obstructive CAD (ANOCA/INOCA); (iii) the non-acute patient post-ACS or after a revascularization; (iv) the non-acute patient with heart failure (HF) of ischaemic or cardiometabolic origin.""}"
25,161,36,666,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""A large proportion of patients undergoing coronary angiography because of angina do not have obstructive epicardial coronary arteries (ANOCA). | As a consequence, these patients continue to experience recurrent angina with poor QoL, leading to repeated hospitalizations, unnecessary repeat coronary angiography, and adverse cardiovascular outcomes in the short and long term.36\nPrevalence of disease characteristics in patients with ANOCA/INOCA referred for invasive coronary functional testing.""}"
25,96,36,343,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Management should be patient-centred with a patient-oriented multidisciplinary care approach.977Figure 15provides an algorithm for the therapeutic management of ANOCA/INOCA. | In all patients with established ANOCA/INOCA due to the frequent presence of coronary atherosclerosis and endothelial dysfunction, tailored counselling on lifestyle factors is warranted to address risk factors, reduce symptoms, and improve QoL and prognosis.""}"
25,2,36,6,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Angina/ischaemia with non-obstructive coronary arteries (ANOCA/INOCA) may be caused by transient and/or sustained impairments in the supply–demand of myocardial perfusion.""}"
30,31,54,56,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Contemporary primary prevention,16including lifestyle changes and guideline-directed medical therapy (GDMT), has led to a decline of the age-standardized prevalence22,23of obstructive epicardial coronary atherosclerosis in patients with suspected CCS.24–28As a consequence, the diagnostic and prognostic risk prediction models applied in the past to identify obstructive epicardial CAD in patients with suspected angina pectoris have required updating and refinement.27,29,30Initial use of coronary computed tomography angiography (CCTA)31,32for detecting and assessing epicardial coronary atherosclerosis is increasingly being adopted since it has shown similar performance to non-invasive stress testing for detecting segmental myocardial ischaemia.33–35Invasive coronary angiography (ICA), classically used to detect anatomically significant stenoses, has expanded to become a functional test36that includes refined haemodynamic assessment of epicardial stenoses, provocative testing for the detection of epicardial or microvascular spasm,37–40and a functional assessment of CMD.41–43Moreover, there is a growing interest in non-invasive imaging methods such as stress positron emission tomography (PET)44,45or stress magnetic resonance imaging (MRI),46which allow accurate assessment of the coronary microcirculation in a quantitative manner.""}"
31,239,56,1136,HAS_ONTOLOGY,,{}
31,31,56,56,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Furthermore, patients with “typical” vs. “atypical” angina included in the PRECISE study had similar 1-year outcomes,57highlighting the limited prognostic value of symptom classification on typicality of angina used in obstructive CAD prediction models.""}"
33,226,60,1123,HAS_ONTOLOGY,,{}
35,5,72,10,PART_OF,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""The current rationale behind choosing a first-line test should be to assess the anatomical severity and functional consequences of coronary disease, whether obstructive or not.""}"
