local_id,neo4j_id,name,ontology_id,labels,props_json
11,18,,TEMP_diseases_4522,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4522"", ""match_method"": ""new_entity"", ""normalized_name"": ""Dynamic Epicardial Vasospasm"", ""text"": ""dynamic epicardial vasospasm""}"
12,19,,D001.001.005,"['Disease', 'Knowledge']","{""ontology_id"": ""D001.001.005"", ""match_method"": ""llm_match"", ""normalized_name"": ""Coronary_Microvascular_Dysfunction"", ""text"": ""coronary microvascular dysfunction (CMD)""}"
13,20,,TEMP_diseases_5110,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_5110"", ""match_method"": ""new_entity"", ""normalized_name"": ""Microcirculatory_Abnormality"", ""text"": ""microcirculatory abnormalities""}"
14,21,,D001.001.003,"['Disease', 'Knowledge']","{""ontology_id"": ""D001.001.003"", ""match_method"": ""llm_match"", ""normalized_name"": ""Ischemia"", ""text"": ""ischaemia""}"
15,22,,TEMP_diseases_7716,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_7716"", ""match_method"": ""new_entity"", ""normalized_name"": ""Anemia"", ""text"": ""anaemia""}"
16,23,,TEMP_diseases_7174,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_7174"", ""match_method"": ""new_entity"", ""normalized_name"": ""Non_Acute_Myocardial_Ischemia"", ""text"": ""non-acute myocardial ischaemia""}"
17,26,,TEMP_diseases_9853,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9853"", ""match_method"": ""new_entity"", ""normalized_name"": ""Myocardial_Hypertrophy"", ""text"": ""myocardial hypertrophy""}"
18,27,,TEMP_diseases_2439,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_2439"", ""match_method"": ""new_entity"", ""normalized_name"": ""Fibrosis"", ""text"": ""fibrosis""}"
19,28,,TEMP_diseases_3492,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_3492"", ""match_method"": ""new_entity"", ""normalized_name"": ""Endothelial_Dysfunction"", ""text"": ""endothelial dysfunction""}"
20,29,,TEMP_diseases_8285,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_8285"", ""match_method"": ""new_entity"", ""normalized_name"": ""Myocardial_Capillaries"", ""text"": ""myocardial capillaries""}"
21,30,,TEMP_diseases_9561,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9561"", ""match_method"": ""new_entity"", ""normalized_name"": ""Rarefaction"", ""text"": ""rarefaction""}"
22,33,,TEMP_diseases_9753,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9753"", ""match_method"": ""new_entity"", ""normalized_name"": ""Epicardial Conductive Arteries"", ""text"": ""epicardial conductive arteries""}"
23,34,,D001.001.004,"['Disease', 'Knowledge']","{""ontology_id"": ""D001.001.004"", ""match_method"": ""llm_match"", ""normalized_name"": ""Stress-Induced_Angina"", ""text"": ""stress-induced angina""}"
24,35,,TEMP_diseases_3259,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_3259"", ""match_method"": ""new_entity"", ""normalized_name"": ""Epicardial Obstructive CAD"", ""text"": ""epicardial obstructive CAD""}"
25,36,,TEMP_diseases_7408,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_7408"", ""match_method"": ""new_entity"", ""normalized_name"": ""ANOCA/INOCA"", ""text"": ""ANOCA/INOCA""}"
26,37,,TEMP_diseases_8150,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_8150"", ""match_method"": ""new_entity"", ""normalized_name"": ""Epicardial Coronary Artery Disease"", ""text"": ""epicardial CAD""}"
27,40,,TEMP_diseases_2868,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_2868"", ""match_method"": ""new_entity"", ""normalized_name"": ""Transition_between_CCS_and_ACS"", ""text"": ""transition between CCS and ACS""}"
28,43,,TEMP_diseases_4071,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4071"", ""match_method"": ""new_entity"", ""normalized_name"": ""Microvascular Angina"", ""text"": ""greater prevalence of MVA""}"
29,48,,TEMP_diseases_3278,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_3278"", ""match_method"": ""new_entity"", ""normalized_name"": ""Anatomically_Significant_Stenoses"", ""text"": ""anatomically significant stenoses""}"
30,54,,TEMP_diseases_5469,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_5469"", ""match_method"": ""new_entity"", ""normalized_name"": ""Obstructive_Epicardial_Coronary_Atherosclerosis"", ""text"": ""obstructive epicardial coronary atherosclerosis""}"
31,56,,D001.001.002.002,"['Disease', 'Knowledge']","{""ontology_id"": ""D001.001.002.002"", ""match_method"": ""llm_match"", ""normalized_name"": ""Atypical_Angina"", ""text"": ""suspected angina pectoris""}"
32,58,,TEMP_diseases_6173,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_6173"", ""match_method"": ""new_entity"", ""normalized_name"": ""Chronic_Coronary_Syndrome"", ""text"": ""Chronic Coronary Syndrome (CCS)""}"
33,60,,D001.001.001.001,"['Disease', 'Knowledge']","{""ontology_id"": ""D001.001.001.001"", ""match_method"": ""llm_match"", ""normalized_name"": ""Acute_Myocardial_Infarction"", ""text"": ""spontaneous myocardial infarction (MI)""}"
34,66,,TEMP_diseases_4899,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4899"", ""match_method"": ""new_entity"", ""normalized_name"": ""Left_Ventricular_Dysfunction"", ""text"": ""left ventricular dysfunction""}"
35,72,,TEMP_diseases_6254,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_6254"", ""match_method"": ""new_entity"", ""normalized_name"": ""High_Risk_CAD"", ""text"": ""high-risk CAD""}"
36,77,,TEMP_diseases_0224,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_0224"", ""match_method"": ""new_entity"", ""normalized_name"": ""Chronic_Coronary_Syndrome"", ""text"": ""chronic coronary syndrome""}"
37,78,,TEMP_diseases_0526,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_0526"", ""match_method"": ""new_entity"", ""normalized_name"": ""Chronic Coronary Syndrome"", ""text"": ""diagnosis of CCS""}"
38,79,,TEMP_diseases_7206,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_7206"", ""match_method"": ""new_entity"", ""normalized_name"": ""Pericarditis"", ""text"": ""pericarditis""}"
39,81,,D001.001.002.003,"['Disease', 'Knowledge']","{""ontology_id"": ""D001.001.002.003"", ""match_method"": ""llm_match"", ""normalized_name"": ""Non_Anginal_Chest_Pain"", ""text"": ""non-anginal/non-cardiac""}"
40,87,,TEMP_diseases_0385,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_0385"", ""match_method"": ""new_entity"", ""normalized_name"": ""Familial Hypercholesterolemia"", ""text"": ""familial hypercholesterolaemia""}"
41,89,,TEMP_diseases_9587,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9587"", ""match_method"": ""new_entity"", ""normalized_name"": ""Chronic_Obstructive_Pulmonary_Disease"", ""text"": ""chronic obstructive pulmonary disease""}"
42,92,,TEMP_diseases_3994,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_3994"", ""match_method"": ""new_entity"", ""normalized_name"": ""Cerebral_Vascular_Disease"", ""text"": ""cerebral vascular disease""}"
43,93,,D001.001.001.002.001,"['Disease', 'Knowledge']","{""ontology_id"": ""D001.001.001.002.001"", ""match_method"": ""llm_match"", ""normalized_name"": ""Recent_Onset_Angina"", ""text"": ""recent-onset anginal symptoms""}"
44,94,,TEMP_diseases_9103,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9103"", ""match_method"": ""new_entity"", ""normalized_name"": ""Destabilizing_Coronary_Atherosclerotic_Plaque"", ""text"": ""destabilizing coronary atherosclerotic plaque""}"
45,96,,D001.001.001,"['Disease', 'Knowledge']","{""ontology_id"": ""D001.001.001"", ""match_method"": ""llm_match"", ""normalized_name"": ""Acute_Coronary_Syndrome"", ""text"": ""acute coronary syndromes""}"
46,107,,TEMP_diseases_4922,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4922"", ""match_method"": ""new_entity"", ""normalized_name"": ""Atrial_Fibrillation"", ""text"": ""atrial fibrillation""}"
47,121,,TEMP_diseases_7572,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_7572"", ""match_method"": ""new_entity"", ""normalized_name"": ""Chronic_cough_syndrome"", ""text"": ""suspected CCS""}"
48,126,,TEMP_diseases_6846,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_6846"", ""match_method"": ""new_entity"", ""normalized_name"": ""Hyperuricemia"", ""text"": ""hyperuricaemia""}"
49,129,,D001.001.001.002,"['Disease', 'Knowledge']","{""ontology_id"": ""D001.001.001.002"", ""match_method"": ""llm_match"", ""normalized_name"": ""Unstable_Angina"", ""text"": ""CAD instability""}"
50,132,,TEMP_diseases_1157,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_1157"", ""match_method"": ""new_entity"", ""normalized_name"": ""Heart_Failure"", ""text"": ""heart failure""}"
51,143,,TEMP_diseases_9972,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9972"", ""match_method"": ""new_entity"", ""normalized_name"": ""Coronary_Vasospasm"", ""text"": ""coronary vasospasm""}"
52,145,,TEMP_diseases_8397,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_8397"", ""match_method"": ""new_entity"", ""normalized_name"": ""Effort-Induced Angina"", ""text"": ""effort-induced angina""}"
53,147,,TEMP_diseases_0445,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_0445"", ""match_method"": ""new_entity"", ""normalized_name"": ""Obstructive coronary artery disease"", ""text"": ""obstructive CAD""}"
54,149,,TEMP_diseases_2307,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_2307"", ""match_method"": ""new_entity"", ""normalized_name"": ""Familial_Hypercholesterolemia"", ""text"": ""familial hypercholesterolemia""}"
55,158,,TEMP_diseases_1788,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_1788"", ""match_method"": ""new_entity"", ""normalized_name"": ""Hyperthyroidism"", ""text"": ""hyperthyroidism""}"
56,172,,TEMP_diseases_1164,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_1164"", ""match_method"": ""new_entity"", ""normalized_name"": ""Obstructive Coronary Artery Disease"", ""text"": ""likelihood of obstructive CAD""}"
57,181,,TEMP_diseases_0900,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_0900"", ""match_method"": ""new_entity"", ""normalized_name"": ""Severe kidney dysfunction"", ""text"": ""severe kidney dysfunction""}"
58,185,,TEMP_diseases_1267,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_1267"", ""match_method"": ""new_entity"", ""normalized_name"": ""Coronary artery calcification"", ""text"": ""CAC""}"
59,192,,TEMP_diseases_6842,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_6842"", ""match_method"": ""new_entity"", ""normalized_name"": ""Non-coronary_Atherosclerotic_Disease"", ""text"": ""non-coronary atherosclerotic disease""}"
60,202,,TEMP_diseases_8369,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_8369"", ""match_method"": ""new_entity"", ""normalized_name"": ""Diastolic LV Dysfunction"", ""text"": ""diastolic LV dysfunction""}"
61,203,,TEMP_diseases_3722,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_3722"", ""match_method"": ""new_entity"", ""normalized_name"": ""Ischemic_Myocardial_Dysfunction"", ""text"": ""ischaemic myocardial dysfunction""}"
62,206,,TEMP_diseases_8152,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_8152"", ""match_method"": ""new_entity"", ""normalized_name"": ""Scarred_Myocardium"", ""text"": ""scarred myocardium""}"
63,218,,TEMP_diseases_5047,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_5047"", ""match_method"": ""new_entity"", ""normalized_name"": ""Major_Adverse_Cardiovascular_Events"", ""text"": ""major adverse cardiovascular events""}"
64,223,,TEMP_diseases_2329,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_2329"", ""match_method"": ""new_entity"", ""normalized_name"": ""Obstructive Coronary Artery Disease"", ""text"": ""very low likelihood of obstructive CAD""}"
65,224,,TEMP_diseases_0648,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_0648"", ""match_method"": ""new_entity"", ""normalized_name"": ""Obstructive_Coronary_Artery_Disease"", ""text"": ""low sensitivity and specificity for obstructive CAD""}"
66,231,,TEMP_diseases_9960,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9960"", ""match_method"": ""new_entity"", ""normalized_name"": ""Calcified_Atherosclerotic_Plaque"", ""text"": ""calcified atherosclerotic plaque""}"
67,238,,TEMP_diseases_5289,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_5289"", ""match_method"": ""new_entity"", ""normalized_name"": ""Very_Low_Likelihood_Of_Obstructive_CAD"", ""text"": ""very low (≤5%) likelihood of obstructive CAD""}"
68,239,,TEMP_diseases_1953,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_1953"", ""match_method"": ""new_entity"", ""normalized_name"": ""Low_Likelihood_Obstructive_CAD"", ""text"": ""low (>5%–15%) likelihood of obstructive CAD""}"
69,241,,TEMP_diseases_4444,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4444"", ""match_method"": ""new_entity"", ""normalized_name"": ""Obstructive Coronary Artery Disease Likelihood"", ""text"": ""high (>50%–85%) likelihood of obstructive CAD""}"
70,242,,TEMP_diseases_8769,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_8769"", ""match_method"": ""new_entity"", ""normalized_name"": ""Very_High_Likelihood_Of_Obstructive_CAD"", ""text"": ""very high (>85%) likelihood of obstructive CAD""}"
71,247,,TEMP_diseases_9880,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9880"", ""match_method"": ""new_entity"", ""normalized_name"": ""Cardiomyopathies"", ""text"": ""most cardiomyopathies""}"
72,252,,TEMP_diseases_9850,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9850"", ""match_method"": ""new_entity"", ""normalized_name"": ""Major_Adverse_Cardiovascular_Events"", ""text"": ""major adverse cardiovascular events (MACE)""}"
73,257,,TEMP_diseases_2506,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_2506"", ""match_method"": ""new_entity"", ""normalized_name"": ""Left Bundle Branch Block"", ""text"": ""LBBB""}"
74,260,,TEMP_diseases_0670,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_0670"", ""match_method"": ""new_entity"", ""normalized_name"": ""Pulmonary_Conditions"", ""text"": ""pulmonary conditions""}"
75,261,,TEMP_diseases_4898,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4898"", ""match_method"": ""new_entity"", ""normalized_name"": ""Obstructive_Coronary_Artery_Stenosis"", ""text"": ""obstructive coronary artery stenoses""}"
76,264,,TEMP_diseases_8334,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_8334"", ""match_method"": ""new_entity"", ""normalized_name"": ""Downstream_ICA"", ""text"": ""downstream ICA""}"
77,265,,TEMP_diseases_2177,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_2177"", ""match_method"": ""new_entity"", ""normalized_name"": ""Cardiovascular_Death"", ""text"": ""cardiovascular death""}"
78,266,,TEMP_diseases_4788,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4788"", ""match_method"": ""new_entity"", ""normalized_name"": ""Non-fatal myocardial infarction"", ""text"": ""non-fatal MI""}"
79,268,,D001.001.001.001.002,"['Disease', 'Knowledge']","{""ontology_id"": ""D001.001.001.001.002"", ""match_method"": ""llm_match"", ""normalized_name"": ""Non_ST_Elevation_Myocardial_Infarction"", ""text"": ""increased risk of non-fatal MI""}"
80,274,,TEMP_diseases_8651,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_8651"", ""match_method"": ""new_entity"", ""normalized_name"": ""Heavily_Calcified_Coronary_Arteries"", ""text"": ""heavily calcified coronary arteries""}"
81,279,,TEMP_diseases_7543,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_7543"", ""match_method"": ""new_entity"", ""normalized_name"": ""Myocardial Oxygen Demand"", ""text"": ""myocardial oxygen demand""}"
82,282,,TEMP_diseases_8158,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_8158"", ""match_method"": ""new_entity"", ""normalized_name"": ""Cardiac_Conditions"", ""text"": ""cardiac conditions""}"
83,299,,TEMP_diseases_8182,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_8182"", ""match_method"": ""new_entity"", ""normalized_name"": ""Myocardial_Hypoperfusion"", ""text"": ""Myocardial hypoperfusion""}"
84,302,,TEMP_diseases_0440,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_0440"", ""match_method"": ""new_entity"", ""normalized_name"": ""Multivessel Coronary Artery Disease"", ""text"": ""multivessel CAD""}"
85,303,,TEMP_diseases_2707,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_2707"", ""match_method"": ""new_entity"", ""normalized_name"": ""Severe Obstructive Coronary Artery Disease"", ""text"": ""severe obstructive CAD""}"
86,326,,TEMP_diseases_4929,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4929"", ""match_method"": ""new_entity"", ""normalized_name"": ""Myocardial_Perfusion_Supply_Demand_Impairment"", ""text"": ""impairments in the supply–demand of myocardial perfusion""}"
87,327,,TEMP_diseases_8867,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_8867"", ""match_method"": ""new_entity"", ""normalized_name"": ""Functional disorders leading to ANOCA or INOCA"", ""text"": ""Functional disorders leading to ANOCA/INOCA""}"
88,328,,TEMP_diseases_7196,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_7196"", ""match_method"": ""new_entity"", ""normalized_name"": ""Microvascular Angina"", ""text"": ""MVA""}"
89,329,,TEMP_diseases_9737,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9737"", ""match_method"": ""new_entity"", ""normalized_name"": ""Vasospastic angina"", ""text"": ""VSA""}"
90,330,,TEMP_diseases_9347,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9347"", ""match_method"": ""new_entity"", ""normalized_name"": ""ANOCA/INOCA"", ""text"": ""Patients with ANOCA/INOCA""}"
91,332,,TEMP_diseases_2481,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_2481"", ""match_method"": ""new_entity"", ""normalized_name"": ""Coronary_Circulation"", ""text"": ""coronary circulation""}"
92,333,,TEMP_diseases_9488,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9488"", ""match_method"": ""new_entity"", ""normalized_name"": ""Microvascular_Angina"", ""text"": ""MVA cases""}"
93,336,,TEMP_diseases_1419,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_1419"", ""match_method"": ""new_entity"", ""normalized_name"": ""Severity_of_Coronary_Stenoses"", ""text"": ""severity of coronary stenoses""}"
94,337,,TEMP_diseases_9559,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9559"", ""match_method"": ""new_entity"", ""normalized_name"": ""Flow-limiting CAD"", ""text"": ""flow-limiting CAD""}"
95,341,,TEMP_diseases_4217,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4217"", ""match_method"": ""new_entity"", ""normalized_name"": ""Vascular Smooth Muscle Dysfunction"", ""text"": ""Vascular Smooth Muscle Dysfunction (VSA)""}"
96,343,,TEMP_diseases_4626,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4626"", ""match_method"": ""new_entity"", ""normalized_name"": ""Coronary_Atherosclerosis"", ""text"": ""coronary atherosclerosis""}"
97,349,,TEMP_diseases_3301,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_3301"", ""match_method"": ""new_entity"", ""normalized_name"": ""ANOCA"", ""text"": ""ANOCA""}"
98,356,,TEMP_diseases_0093,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_0093"", ""match_method"": ""new_entity"", ""normalized_name"": ""Stroke"", ""text"": ""stroke""}"
99,367,,TEMP_diseases_1965,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_1965"", ""match_method"": ""new_entity"", ""normalized_name"": ""Hemodynamically_Significant"", ""text"": ""haemodynamically significant""}"
100,371,,TEMP_diseases_3894,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_3894"", ""match_method"": ""new_entity"", ""normalized_name"": ""Hemodynamically_Insignificant"", ""text"": ""not haemodynamically significant""}"
101,374,,TEMP_diseases_7454,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_7454"", ""match_method"": ""new_entity"", ""normalized_name"": ""Lesions in left main or proximal LAD"", ""text"": ""lesions in left main or proximal LAD""}"
102,376,,TEMP_diseases_1708,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_1708"", ""match_method"": ""new_entity"", ""normalized_name"": ""Functionally_Non-significant_Stenosis"", ""text"": ""functionally non-significant stenosis""}"
103,379,,TEMP_diseases_2282,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_2282"", ""match_method"": ""new_entity"", ""normalized_name"": ""Larger_Arteries"", ""text"": ""larger arteries""}"
104,388,,TEMP_diseases_4895,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4895"", ""match_method"": ""new_entity"", ""normalized_name"": ""Non-fatal_Myocardial_Infarction_rate"", ""text"": ""non-fatal MI rate""}"
105,393,,TEMP_diseases_1106,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_1106"", ""match_method"": ""new_entity"", ""normalized_name"": ""Coronary_Artery"", ""text"": ""coronary artery""}"
106,403,,TEMP_diseases_6276,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_6276"", ""match_method"": ""new_entity"", ""normalized_name"": ""FFR and CFR Discordance"", ""text"": ""similar prognosis to concordant abnormal FFR and CFR""}"
107,404,,TEMP_diseases_5955,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_5955"", ""match_method"": ""new_entity"", ""normalized_name"": ""Lesions_with_Abnormal_FFR_but_Normal_CFR"", ""text"": ""lesions with abnormal FFR but normal CFR""}"
108,406,,TEMP_diseases_8520,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_8520"", ""match_method"": ""new_entity"", ""normalized_name"": ""Hyperaemic_Stenosis_Resistance"", ""text"": ""hyperaemic stenosis resistance (HSR)""}"
109,431,,TEMP_diseases_9732,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_9732"", ""match_method"": ""new_entity"", ""normalized_name"": ""Microcirculation_Dysfunction"", ""text"": ""microcirculation""}"
110,437,,TEMP_diseases_8696,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_8696"", ""match_method"": ""new_entity"", ""normalized_name"": ""Disease or Complications for Patients with eGFR <30 mL/min/1.73 m2"", ""text"": ""disease or complications for patients with eGFR <30 mL/min/1.73 m2""}"
111,440,,TEMP_diseases_4878,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4878"", ""match_method"": ""new_entity"", ""normalized_name"": ""Uncertain_CCS_Diagnosis"", ""text"": ""uncertain CCS diagnosis""}"
112,443,,TEMP_diseases_2006,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_2006"", ""match_method"": ""new_entity"", ""normalized_name"": ""Obstructive Coronary Artery Disease Likelihood"", ""text"": ""low (≤5%) likelihood of obstructive CAD""}"
113,445,,TEMP_diseases_1641,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_1641"", ""match_method"": ""new_entity"", ""normalized_name"": ""Obstructive Coronary Artery Disease"", ""text"": ""high likelihood of obstructive CAD""}"
114,447,,TEMP_diseases_4701,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_4701"", ""match_method"": ""new_entity"", ""normalized_name"": ""Non-obstructive coronary artery disease"", ""text"": ""non-obstructive CAD""}"
115,450,,TEMP_diseases_5273,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_5273"", ""match_method"": ""new_entity"", ""normalized_name"": ""Stenosis"", ""text"": ""stenoses""}"
116,455,,TEMP_diseases_0136,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_0136"", ""match_method"": ""new_entity"", ""normalized_name"": ""Ischemia with non-obstructed coronary arteries"", ""text"": ""INOCA""}"
117,456,,TEMP_diseases_6388,"['Disease', 'Knowledge']","{""ontology_id"": ""TEMP_diseases_6388"", ""match_method"": ""new_entity"", ""normalized_name"": ""Coronary Microvascular Dysfunction"", ""text"": ""CMD""}"
