node_id,node_type,name,source,meta
20,ECGFinding,Coexistence of ST segment elevation and ST segment depression (reciprocal changes),book_chapter,"{""original_text"": ""Coexistence of ST segment elevation and ST segment depression (reciprocal changes)"", ""data_source"": ""chapter_extraction_results.json""}"
21,ECGFinding,abnormal Q waves,book_chapter,"{""original_text"": ""abnormal Q waves"", ""data_source"": ""chapter_extraction_results.json""}"
22,ECGFinding,Q waves develop within the first few minutes/hours of myocardial injury,book_chapter,"{""original_text"": ""Q waves develop within the first few minutes/hours of myocardial injury"", ""data_source"": ""chapter_extraction_results.json""}"
23,ECGFinding,accompanying decrease in the amplitude of the R waves,book_chapter,"{""original_text"": ""accompanying decrease in the amplitude of the R waves"", ""data_source"": ""chapter_extraction_results.json""}"
24,ECGFinding,Q waves,book_chapter,"{""original_text"": ""Q waves"", ""data_source"": ""chapter_extraction_results.json""}"
25,Disease,STEMI,book_chapter,"{""original_text"": ""STEMI"", ""data_source"": ""chapter_extraction_results.json""}"
26,Disease,Non-STEMI,book_chapter,"{""original_text"": ""Non-STEMI"", ""data_source"": ""chapter_extraction_results.json""}"
27,ECGFinding,T wave inversion,book_chapter,"{""original_text"": ""T wave inversion"", ""data_source"": ""chapter_extraction_results.json""}"
28,ECGFinding,ST segment depression associated with chest pain,book_chapter,"{""original_text"": ""ST segment depression associated with chest pain"", ""data_source"": ""chapter_extraction_results.json""}"
29,ECGFinding,isolated ST segment depression in the anterior leads V2 and V3,book_chapter,"{""original_text"": ""isolated ST segment depression in the anterior leads V2 and V3"", ""data_source"": ""chapter_extraction_results.json""}"
30,ECGFinding,horizontal ST segment depression,book_chapter,"{""original_text"": ""horizontal ST segment depression"", ""data_source"": ""chapter_extraction_results.json""}"
31,ECGFinding,dynamic ST segment depression,book_chapter,"{""original_text"": ""dynamic ST segment depression"", ""data_source"": ""chapter_extraction_results.json""}"
32,ECGFinding,subtle ST segment depression in V3 –V6,book_chapter,"{""original_text"": ""subtle ST segment depression in V3 –V6"", ""data_source"": ""chapter_extraction_results.json""}"
33,ECGFinding,deeply inverted T waves,book_chapter,"{""original_text"": ""deeply inverted T waves"", ""data_source"": ""chapter_extraction_results.json""}"
34,ECGFinding,T wave inversion with concomitant ST segment elevation,book_chapter,"{""original_text"": ""T wave inversion with concomitant ST segment elevation"", ""data_source"": ""chapter_extraction_results.json""}"
35,ECGFinding,ST segment elevation in two adjacent leads,book_chapter,"{""original_text"": ""ST segment elevation in two adjacent leads"", ""data_source"": ""chapter_extraction_results.json""}"
36,Disease,Anterior Myocardial Infarction,book_chapter,"{""original_text"": ""Anterior Myocardial Infarction"", ""data_source"": ""chapter_extraction_results.json""}"
37,ECGFinding,ST segment elevation in V3 through V5,book_chapter,"{""original_text"": ""ST segment elevation in V3 through V5"", ""data_source"": ""chapter_extraction_results.json""}"
38,ECGFinding,"ST segment elevation in lateral leads (aVL, I, and V6)",book_chapter,"{""original_text"": ""ST segment elevation in lateral leads (aVL, I, and V6)"", ""data_source"": ""chapter_extraction_results.json""}"
39,ECGFinding,anterior ST segment elevation,book_chapter,"{""original_text"": ""anterior ST segment elevation"", ""data_source"": ""chapter_extraction_results.json""}"
40,ECGFinding,ST segment elevation in the inferior leads,book_chapter,"{""original_text"": ""ST segment elevation in the inferior leads"", ""data_source"": ""chapter_extraction_results.json""}"
41,ECGFinding,"ST segment elevation in the inferior leads (II, III, and aVF)",book_chapter,"{""original_text"": ""ST segment elevation in the inferior leads (II, III, and aVF)"", ""data_source"": ""chapter_extraction_results.json""}"
42,Disease,Inferior Wall Myocardial Infarction,book_chapter,"{""original_text"": ""Inferior Wall Myocardial Infarction"", ""data_source"": ""chapter_extraction_results.json""}"
43,ECGFinding,reciprocal ST depression in leads I and aVL,book_chapter,"{""original_text"": ""reciprocal ST depression in leads I and aVL"", ""data_source"": ""chapter_extraction_results.json""}"
44,ECGFinding,prominent ST segment elevation in lead III compared to lead II,book_chapter,"{""original_text"": ""prominent ST segment elevation in lead III compared to lead II"", ""data_source"": ""chapter_extraction_results.json""}"
45,Disease,Right Coronary Artery Occlusion,book_chapter,"{""original_text"": ""Right Coronary Artery Occlusion"", ""data_source"": ""chapter_extraction_results.json""}"
46,ECGFinding,prominent R wave in lead V1,book_chapter,"{""original_text"": ""prominent R wave in lead V1"", ""data_source"": ""chapter_extraction_results.json""}"
47,Disease,Posterior Myocardial Infarction,book_chapter,"{""original_text"": ""Posterior Myocardial Infarction"", ""data_source"": ""chapter_extraction_results.json""}"
48,ECGFinding,significant ST segment depression and an upright T wave,book_chapter,"{""original_text"": ""significant ST segment depression and an upright T wave"", ""data_source"": ""chapter_extraction_results.json""}"
49,ECGFinding,reciprocal ST depression in aVL,book_chapter,"{""original_text"": ""reciprocal ST depression in aVL"", ""data_source"": ""chapter_extraction_results.json""}"
50,ECGFinding,ST segment elevation in inferior and lateral leads,book_chapter,"{""original_text"": ""ST segment elevation in inferior and lateral leads"", ""data_source"": ""chapter_extraction_results.json""}"
51,ECGFinding,absent reciprocal ST segment depression in aVL,book_chapter,"{""original_text"": ""absent reciprocal ST segment depression in aVL"", ""data_source"": ""chapter_extraction_results.json""}"
52,Disease,Circumflex Coronary Artery Occlusion,book_chapter,"{""original_text"": ""Circumflex Coronary Artery Occlusion"", ""data_source"": ""chapter_extraction_results.json""}"
53,ECGFinding,"equal ST segment elevation in leads II, aVF, and III",book_chapter,"{""original_text"": ""equal ST segment elevation in leads II, aVF, and III"", ""data_source"": ""chapter_extraction_results.json""}"
54,ECGFinding,ST segment elevation in lead II,book_chapter,"{""original_text"": ""ST segment elevation in lead II"", ""data_source"": ""chapter_extraction_results.json""}"
55,ECGFinding,lack of reciprocal changes in V1 and V2,book_chapter,"{""original_text"": ""lack of reciprocal changes in V1 and V2"", ""data_source"": ""chapter_extraction_results.json""}"
56,Disease,Myocardial Infarction of the Right Ventricle,book_chapter,"{""original_text"": ""Myocardial Infarction of the Right Ventricle"", ""data_source"": ""chapter_extraction_results.json""}"
57,ECGFinding,frank ST segment elevation in V1 and V2,book_chapter,"{""original_text"": ""frank ST segment elevation in V1 and V2"", ""data_source"": ""chapter_extraction_results.json""}"
58,ECGFinding,ST segment elevation in RV4,book_chapter,"{""original_text"": ""ST segment elevation in RV4"", ""data_source"": ""chapter_extraction_results.json""}"
59,Disease,Right Ventricular Infarction,book_chapter,"{""original_text"": ""Right Ventricular Infarction"", ""data_source"": ""chapter_extraction_results.json""}"
60,ECGFinding,reciprocal ST depression in V1 and V2,book_chapter,"{""original_text"": ""reciprocal ST depression in V1 and V2"", ""data_source"": ""chapter_extraction_results.json""}"
61,Disease,Posterior Wall Myocardial Infarction,book_chapter,"{""original_text"": ""Posterior Wall Myocardial Infarction"", ""data_source"": ""chapter_extraction_results.json""}"
62,ECGFinding,isolated ST segment elevation in aVR,book_chapter,"{""original_text"": ""isolated ST segment elevation in aVR"", ""data_source"": ""chapter_extraction_results.json""}"
63,Disease,Left Main Coronary Artery Occlusion,book_chapter,"{""original_text"": ""Left Main Coronary Artery Occlusion"", ""data_source"": ""chapter_extraction_results.json""}"
64,ECGFinding,diffuse ST segment depression,book_chapter,"{""original_text"": ""diffuse ST segment depression"", ""data_source"": ""chapter_extraction_results.json""}"
65,Disease,Diffuse Ischemia of the Left Ventricle,book_chapter,"{""original_text"": ""Diffuse Ischemia of the Left Ventricle"", ""data_source"": ""chapter_extraction_results.json""}"
66,ECGFinding,ST segment elevation in V1 with occlusion of the left main artery,book_chapter,"{""original_text"": ""ST segment elevation in V1 with occlusion of the left main artery"", ""data_source"": ""chapter_extraction_results.json""}"
67,ECGFinding,≥1 mm ST segment elevation associated with a positive QRS complex,book_chapter,"{""original_text"": ""≥1 mm ST segment elevation associated with a positive QRS complex"", ""data_source"": ""chapter_extraction_results.json""}"
68,ECGFinding,ST segment depression ≥1 mm in the right precordial leads (V1 through V3),book_chapter,"{""original_text"": ""ST segment depression ≥1 mm in the right precordial leads (V1 through V3)"", ""data_source"": ""chapter_extraction_results.json""}"
69,Disease,Myocardial Ischemia/Infarction,book_chapter,"{""original_text"": ""Myocardial Ischemia/Infarction"", ""data_source"": ""chapter_extraction_results.json""}"
70,ECGFinding,Exaggerated ST segment elevation (≥5 mm),book_chapter,"{""original_text"": ""Exaggerated ST segment elevation (≥5 mm)"", ""data_source"": ""chapter_extraction_results.json""}"
71,ECGFinding,"Q wave (> 30 ms) in two or more lateral leads (I, aVL, V5, or V6)",book_chapter,"{""original_text"": ""Q wave (> 30 ms) in two or more lateral leads (I, aVL, V5, or V6)"", ""data_source"": ""chapter_extraction_results.json""}"
72,Disease,remote anterior myocardial infarction,book_chapter,"{""original_text"": ""remote anterior myocardial infarction"", ""data_source"": ""chapter_extraction_results.json""}"
73,ECGFinding,ST segment elevation in a patient with chest pain,book_chapter,"{""original_text"": ""ST segment elevation in a patient with chest pain"", ""data_source"": ""chapter_extraction_results.json""}"
74,ECGFinding,ST segment changes in the same direction as the QRS complex,book_chapter,"{""original_text"": ""ST segment changes in the same direction as the QRS complex"", ""data_source"": ""chapter_extraction_results.json""}"
75,ECGFinding,Exaggerated ST segment elevation (>5 mm),book_chapter,"{""original_text"": ""Exaggerated ST segment elevation (>5 mm)"", ""data_source"": ""chapter_extraction_results.json""}"
76,ECGFinding,"Presence of Q waves in two of the lateral leads (I, aVL, V5, V6)",book_chapter,"{""original_text"": ""Presence of Q waves in two of the lateral leads (I, aVL, V5, V6)"", ""data_source"": ""chapter_extraction_results.json""}"
77,Disease,Old Infarction,book_chapter,"{""original_text"": ""Old Infarction"", ""data_source"": ""chapter_extraction_results.json""}"
78,ECGFinding,T wave inversion in the inferior leads,book_chapter,"{""original_text"": ""T wave inversion in the inferior leads"", ""data_source"": ""chapter_extraction_results.json""}"
79,ECGFinding,Development of Q waves in the inferior leads,book_chapter,"{""original_text"": ""Development of Q waves in the inferior leads"", ""data_source"": ""chapter_extraction_results.json""}"
80,ECGFinding,"ST segment elevation in leads II, III, and aVF",book_chapter,"{""original_text"": ""ST segment elevation in leads II, III, and aVF"", ""data_source"": ""chapter_extraction_results.json""}"
81,Disease,Right Coronary Artery Involvement,book_chapter,"{""original_text"": ""Right Coronary Artery Involvement"", ""data_source"": ""chapter_extraction_results.json""}"
82,ECGFinding,absence of reciprocal ST depression in I and aVL,book_chapter,"{""original_text"": ""absence of reciprocal ST depression in I and aVL"", ""data_source"": ""chapter_extraction_results.json""}"
83,Disease,Circumflex Artery Involvement,book_chapter,"{""original_text"": ""Circumflex Artery Involvement"", ""data_source"": ""chapter_extraction_results.json""}"
84,ECGFinding,"ST segment elevation in leads I, aVL, V5, and V6",book_chapter,"{""original_text"": ""ST segment elevation in leads I, aVL, V5, and V6"", ""data_source"": ""chapter_extraction_results.json""}"
85,Disease,Lateral Wall Myocardial Infarction,book_chapter,"{""original_text"": ""Lateral Wall Myocardial Infarction"", ""data_source"": ""chapter_extraction_results.json""}"
86,ECGFinding,"ST segment elevation in the precordial leads V1, V2, V3, and V4",book_chapter,"{""original_text"": ""ST segment elevation in the precordial leads V1, V2, V3, and V4"", ""data_source"": ""chapter_extraction_results.json""}"
87,Disease,Anterior wall myocardial infarction,book_chapter,"{""original_text"": ""Anterior wall myocardial infarction"", ""data_source"": ""chapter_extraction_results.json""}"
88,ECGFinding,ST segment elevation in leads I and aVL,book_chapter,"{""original_text"": ""ST segment elevation in leads I and aVL"", ""data_source"": ""chapter_extraction_results.json""}"
89,Disease,Proximal coronary artery occlusion,book_chapter,"{""original_text"": ""Proximal coronary artery occlusion"", ""data_source"": ""chapter_extraction_results.json""}"
90,Disease,Inferior wall myocardial infarction,book_chapter,"{""original_text"": ""Inferior wall myocardial infarction"", ""data_source"": ""chapter_extraction_results.json""}"
91,ECGFinding,"ST segment elevation in leads aVR and V1, accompanied by diffuse ST segment depression in the inferolateral leads",book_chapter,"{""original_text"": ""ST segment elevation in leads aVR and V1, accompanied by diffuse ST segment depression in the inferolateral leads"", ""data_source"": ""chapter_extraction_results.json""}"
92,Disease,Widespread Myocardial Ischemia,book_chapter,"{""original_text"": ""Widespread Myocardial Ischemia"", ""data_source"": ""chapter_extraction_results.json""}"
93,Disease,ST Elevation Myocardial Infarction,book_chapter,"{""original_text"": ""ST Elevation Myocardial Infarction"", ""data_source"": ""chapter_extraction_results.json""}"
94,FindingLabel,IMI,ptbxl_scp,"{""scp_code"": ""IMI"", ""label_text"": ""inferior myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
95,DiseaseLabel,inferior myocardial infarction,ptbxl_scp,"{""scp_code"": ""IMI"", ""label_text"": ""inferior myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
96,FindingLabel,ASMI,ptbxl_scp,"{""scp_code"": ""ASMI"", ""label_text"": ""anteroseptal myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
97,DiseaseLabel,anteroseptal myocardial infarction,ptbxl_scp,"{""scp_code"": ""ASMI"", ""label_text"": ""anteroseptal myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
98,FindingLabel,ILMI,ptbxl_scp,"{""scp_code"": ""ILMI"", ""label_text"": ""inferolateral myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
99,DiseaseLabel,inferolateral myocardial infarction,ptbxl_scp,"{""scp_code"": ""ILMI"", ""label_text"": ""inferolateral myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
100,FindingLabel,AMI,ptbxl_scp,"{""scp_code"": ""AMI"", ""label_text"": ""anterior myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
101,DiseaseLabel,anterior myocardial infarction,ptbxl_scp,"{""scp_code"": ""AMI"", ""label_text"": ""anterior myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
102,FindingLabel,ALMI,ptbxl_scp,"{""scp_code"": ""ALMI"", ""label_text"": ""anterolateral myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
103,DiseaseLabel,anterolateral myocardial infarction,ptbxl_scp,"{""scp_code"": ""ALMI"", ""label_text"": ""anterolateral myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
104,FindingLabel,LMI,ptbxl_scp,"{""scp_code"": ""LMI"", ""label_text"": ""lateral myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
105,DiseaseLabel,lateral myocardial infarction,ptbxl_scp,"{""scp_code"": ""LMI"", ""label_text"": ""lateral myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
106,FindingLabel,INJIN,ptbxl_scp,"{""scp_code"": ""INJIN"", ""label_text"": ""subendocardial injury in inferior leads"", ""statement_category"": ""ischemic ST-T changes compatible with subendocardial injury"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
107,DiseaseLabel,subendocardial injury in inferior leads,ptbxl_scp,"{""scp_code"": ""INJIN"", ""label_text"": ""subendocardial injury in inferior leads"", ""statement_category"": ""ischemic ST-T changes compatible with subendocardial injury"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
108,FindingLabel,INJLA,ptbxl_scp,"{""scp_code"": ""INJLA"", ""label_text"": ""subendocardial injury in lateral leads"", ""statement_category"": ""ischemic ST-T changes compatible with subendocardial injury"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
109,DiseaseLabel,subendocardial injury in lateral leads,ptbxl_scp,"{""scp_code"": ""INJLA"", ""label_text"": ""subendocardial injury in lateral leads"", ""statement_category"": ""ischemic ST-T changes compatible with subendocardial injury"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
110,FindingLabel,INJIL,ptbxl_scp,"{""scp_code"": ""INJIL"", ""label_text"": ""subendocardial injury in inferolateral leads"", ""statement_category"": ""ischemic ST-T changes compatible with subendocardial injury"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
111,DiseaseLabel,subendocardial injury in inferolateral leads,ptbxl_scp,"{""scp_code"": ""INJIL"", ""label_text"": ""subendocardial injury in inferolateral leads"", ""statement_category"": ""ischemic ST-T changes compatible with subendocardial injury"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
112,FindingLabel,PMI,ptbxl_scp,"{""scp_code"": ""PMI"", ""label_text"": ""posterior myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
113,DiseaseLabel,posterior myocardial infarction,ptbxl_scp,"{""scp_code"": ""PMI"", ""label_text"": ""posterior myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
114,FindingLabel,IPLMI,ptbxl_scp,"{""scp_code"": ""IPLMI"", ""label_text"": ""inferoposterolateral myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
115,DiseaseLabel,inferoposterolateral myocardial infarction,ptbxl_scp,"{""scp_code"": ""IPLMI"", ""label_text"": ""inferoposterolateral myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
116,FindingLabel,IPMI,ptbxl_scp,"{""scp_code"": ""IPMI"", ""label_text"": ""inferoposterior myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
117,DiseaseLabel,inferoposterior myocardial infarction,ptbxl_scp,"{""scp_code"": ""IPMI"", ""label_text"": ""inferoposterior myocardial infarction"", ""statement_category"": ""Myocardial Infarction"", ""data_source"": ""ptbxl_scp_to_book_disease.json""}"
118,FindingLabel,ISC_,ptbxl_scp,"{""scp_code"": ""ISC_"", ""label_text"": ""non-specific ischemic"", ""statement_category"": ""Basic roots for coding ST-T changes and abnormalities"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
119,ECGFinding,non-specific ischemic,ptbxl_scp,"{""scp_code"": ""ISC_"", ""label_text"": ""non-specific ischemic"", ""statement_category"": ""Basic roots for coding ST-T changes and abnormalities"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
120,FindingLabel,ISCAL,ptbxl_scp,"{""scp_code"": ""ISCAL"", ""label_text"": ""ischemic in anterolateral leads"", ""statement_category"": ""ischemic ST-T changes"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
121,ECGFinding,ischemic in anterolateral leads,ptbxl_scp,"{""scp_code"": ""ISCAL"", ""label_text"": ""ischemic in anterolateral leads"", ""statement_category"": ""ischemic ST-T changes"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
122,FindingLabel,ISCIN,ptbxl_scp,"{""scp_code"": ""ISCIN"", ""label_text"": ""ischemic in inferior leads"", ""statement_category"": ""ischemic ST-T changes"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
123,ECGFinding,ischemic in inferior leads,ptbxl_scp,"{""scp_code"": ""ISCIN"", ""label_text"": ""ischemic in inferior leads"", ""statement_category"": ""ischemic ST-T changes"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
124,FindingLabel,ISCIL,ptbxl_scp,"{""scp_code"": ""ISCIL"", ""label_text"": ""ischemic in inferolateral leads"", ""statement_category"": ""ischemic ST-T changes"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
125,ECGFinding,ischemic in inferolateral leads,ptbxl_scp,"{""scp_code"": ""ISCIL"", ""label_text"": ""ischemic in inferolateral leads"", ""statement_category"": ""ischemic ST-T changes"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
126,FindingLabel,ISCLA,ptbxl_scp,"{""scp_code"": ""ISCLA"", ""label_text"": ""ischemic in lateral leads"", ""statement_category"": ""ischemic ST-T changes"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
127,ECGFinding,ischemic in lateral leads,ptbxl_scp,"{""scp_code"": ""ISCLA"", ""label_text"": ""ischemic in lateral leads"", ""statement_category"": ""ischemic ST-T changes"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
128,FindingLabel,QWAVE,ptbxl_scp,"{""scp_code"": ""QWAVE"", ""label_text"": ""Q waves present"", ""statement_category"": ""Other QRS morphology descriptive statements"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
129,ECGFinding,Q waves present,ptbxl_scp,"{""scp_code"": ""QWAVE"", ""label_text"": ""Q waves present"", ""statement_category"": ""Other QRS morphology descriptive statements"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
130,FindingLabel,STD_,ptbxl_scp,"{""scp_code"": ""STD_"", ""label_text"": ""non-specific ST depression"", ""statement_category"": ""Basic roots for coding ST-T changes and abnormalities"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
131,ECGFinding,non-specific ST depression,ptbxl_scp,"{""scp_code"": ""STD_"", ""label_text"": ""non-specific ST depression"", ""statement_category"": ""Basic roots for coding ST-T changes and abnormalities"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
132,FindingLabel,STE_,ptbxl_scp,"{""scp_code"": ""STE_"", ""label_text"": ""non-specific ST elevation"", ""statement_category"": ""Basic roots for coding ST-T changes and abnormalities"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
133,ECGFinding,non-specific ST elevation,ptbxl_scp,"{""scp_code"": ""STE_"", ""label_text"": ""non-specific ST elevation"", ""statement_category"": ""Basic roots for coding ST-T changes and abnormalities"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
134,FindingLabel,TAB_,ptbxl_scp,"{""scp_code"": ""TAB_"", ""label_text"": ""T-wave abnormality"", ""statement_category"": ""Basic roots for coding ST-T changes and abnormalities"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
135,ECGFinding,T-wave abnormality,ptbxl_scp,"{""scp_code"": ""TAB_"", ""label_text"": ""T-wave abnormality"", ""statement_category"": ""Basic roots for coding ST-T changes and abnormalities"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
136,FindingLabel,INVT,ptbxl_scp,"{""scp_code"": ""INVT"", ""label_text"": ""inverted T-waves"", ""statement_category"": ""other ST-T descriptive statements"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
137,ECGFinding,inverted T-waves,ptbxl_scp,"{""scp_code"": ""INVT"", ""label_text"": ""inverted T-waves"", ""statement_category"": ""other ST-T descriptive statements"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
138,FindingLabel,LOWT,ptbxl_scp,"{""scp_code"": ""LOWT"", ""label_text"": ""low amplitude T-waves"", ""statement_category"": ""other ST-T descriptive statements"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
139,ECGFinding,low amplitude T-waves,ptbxl_scp,"{""scp_code"": ""LOWT"", ""label_text"": ""low amplitude T-waves"", ""statement_category"": ""other ST-T descriptive statements"", ""data_source"": ""ptbxl_scp_to_book_ecgfinding.json""}"
